year,adj,noun,period,category
1846,fragrant,beauty,A,Beauty
1846,fragrant,breath,A,Source/principle of life
1846,fragrant,bough,A,Wholeness
1846,fragrant,unction,A,Worship
1846,scented,water,A,Cleanness/dirtiness
1846,fragrant,breath,A,Source/principle of life
1846,fragrant,food,A,Food
1846,fragrant,little,A,Social class
1846,fragrant,sigh,A,The body
1846,fragrant,blessing,A,Advantage
1846,fragrant,twilight,A,Light
1846,fragrant,heart,A,Love
1846,fragrant,balm,A,Healing/cure
1846,fragrant,music,A,The Arts
1846,fragrant,flower,A,Quality of being good
1846,fragrant,flower,A,Quality of being good
1846,fragrant,rose,A,Beauty
1846,fragrant,garland,A,Farming
1846,fragrant,flower,A,Quality of being good
1846,fragrant,silk,A,Textiles
1846,fragrant,gale,A,"Atmosphere, weather"
1846,fragrant,bloom,A,Part of plant
1846,fragrant,shrub,A,Drink
1846,fragrant,head,A,Land
1846,fragrant,wind,A,Cause to have specific position/arrangement
1846,scented,air,A,Gas
1846,fragrant,head,A,Land
1846,perfumed,breath,A,Source/principle of life
1846,fragrant,dew,A,Liquid
1846,scented,flower,A,Quality of being good
1846,perfumed,chalice,A,Part of plant
1846,fragrant,cup,A,Suffering
1846,perfumed,cup,A,Suffering
1846,scented,coronals,A,NA
1847,fragrant,floor,A,Land
1847,fragrant,beverage,A,Drink
1847,sweet-smelling,hay,A,Dancing
1847,scented,pocket-handkerchiefs,A,NA
1847,fragrant,box,A,Measurement
1847,perfumed,flower,A,Quality of being good
1847,fragrant,foliage,A,The Arts
1847,fragrant,orange,A,Particular plants
1847,fragrant,flowering,A,Of/pertaining to part of plant
1847,scented,missile,A,Impelling/driving
1847,fragrant,wild-rose,A,NA
1847,fragrant,beauty,A,Beauty
1847,scented,herb,A,Healing/cure
1847,scented,vine,A,Particular plants
1847,fragrant,perfume,A,Smell/odour
1847,scented,cordovan,A,Materials
1847,fragrant,wood,A,Materials
1847,perfumed,blossom,A,NA
1847,perfumed,flower,A,Quality of being good
1847,perfumed,forest,A,Hunting
1847,perfumed,vapor,A,Gas
1847,fragrant,grass,A,Farming
1847,perfumed,may,A,Person
1847,fragrant,air,A,Gas
1847,scented,gale,A,"Atmosphere, weather"
1847,scented,rose,A,Beauty
1847,scented,bud,A,Part of plant
1847,fragrant,sigh,A,The body
1847,scented,sky,A,Deity
1847,scented,tube,A,Shape
1847,fragrant,tube,A,Shape
1847,scented,air,A,Gas
1847,scented,breeze,A,"Atmosphere, weather"
1847,fragrant,wind,A,Cause to have specific position/arrangement
1847,fragrant,sigh,A,The body
1847,scented,fop,A,Fashionableness
1847,fragrant,air,A,Gas
1847,fragrant,glade,A,Land
