"corpus","user/st.schwarz/xriddle_23"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"legendär",1,351383,521.37640,16.73284,29.458
"leuchten",1,352387,521.37640,16.78065,29.379
"kurve",1,353150,521.37640,16.81699,29.319
"blind",1,353193,521.37640,16.81904,29.316
"ohnehin",2,731973,1042.75281,34.85653,29.109
"schick",1,362997,521.37640,17.28590,28.567
"weiblich",2,752279,1042.75281,35.82350,28.345
"vermittlung",1,366777,521.37640,17.46591,28.289
"verrückt",1,370745,521.37640,17.65486,28.002
"überzeugung",1,371011,521.37640,17.66753,27.983
"station",2,767712,1042.75281,36.55841,27.790
"nachvollziehen",1,376271,521.37640,17.91801,27.613
"humor",1,376564,521.37640,17.93196,27.592
"café",1,377798,521.37640,17.99072,27.507
"friedhof",1,380839,521.37640,18.13554,27.299
"scharf",2,796569,1042.75281,37.93258,26.809
"auffällig",1,392663,521.37640,18.69860,26.518
"vorschlagen",1,394429,521.37640,18.78269,26.406
"bürgerlich",1,396180,521.37640,18.86608,26.295
"derart",1,399050,521.37640,19.00274,26.115
"wahrscheinlichkeit",1,406179,521.37640,19.34223,25.679
"dramatisch",1,410653,521.37640,19.55528,25.413
"angestellte",1,415013,521.37640,19.76290,25.159
"außerordentlich",1,416666,521.37640,19.84162,25.064
"impuls",1,417675,521.37640,19.88967,25.006
"harry",1,433182,521.37640,20.62811,24.153
"experiment",1,435524,521.37640,20.73964,24.029
"waffe",2,893555,1042.75281,42.55105,23.966
"stuhl",1,448734,521.37640,21.36869,23.353
"fürchten",1,452689,521.37640,21.55703,23.158
"aufstieg",1,469594,521.37640,22.36205,22.360
"rückkehr",1,482225,521.37640,22.96354,21.799
"ausüben",1,483201,521.37640,23.01001,21.757
"stolz",2,997416,1042.75281,47.49691,21.522
"ausdrücken",1,489378,521.37640,23.30416,21.493
"heutzutage",1,490171,521.37640,23.34192,21.460
"herkunft",1,496045,521.37640,23.62164,21.216
"brust",1,496780,521.37640,23.65664,21.186
"kompliziert",1,498185,521.37640,23.72355,21.129
"dumm",1,511607,521.37640,24.36271,20.596
"widerspruch",1,513918,521.37640,24.47276,20.507
"seele",2,1084173,1042.75281,51.62827,19.833
"vorwurf",1,539333,521.37640,25.68302,19.577
"dahinter",1,542923,521.37640,25.85397,19.452
"armee",1,545337,521.37640,25.96893,19.370
"betreten",1,552992,521.37640,26.33346,19.111
"vorschlag",2,1155374,1042.75281,55.01886,18.632
"finanzierung",1,576762,521.37640,27.46538,18.351
"verpassen",1,577914,521.37640,27.52024,18.316
"reißen",1,603307,521.37640,28.72945,17.571
"anfangs",1,605060,521.37640,28.81293,17.522
"beruf",2,1230715,1042.75281,58.60660,17.511
"turnier",1,610479,521.37640,29.07098,17.371
"fünft",1,613380,521.37640,29.20913,17.292
"leid",1,628129,521.37640,29.91148,16.899
"wunder",1,639037,521.37640,30.43092,16.620
"mächtig",1,648856,521.37640,30.89850,16.376
"warnen",1,680683,521.37640,32.41410,15.633
"burg",1,694151,521.37640,33.05544,15.339
"gedicht",1,700030,521.37640,33.33540,15.214
"republik",1,710823,521.37640,33.84936,14.990
"begegnen",1,721239,521.37640,34.34537,14.779
"rasch",1,726145,521.37640,34.57899,14.682
"zweifel",1,730328,521.37640,34.77819,14.600
"mittelpunkt",1,751226,521.37640,35.77335,14.205
"kehren",1,751707,521.37640,35.79626,14.196
"streng",1,752373,521.37640,35.82797,14.184
"jene",3,2298521,1564.12927,109.45547,14.170
"zwingen",1,756595,521.37640,36.02903,14.107
"ursprünglich",2,1560596,1042.75281,74.31552,13.858
