"","token","freq","target","unique","stopword"
"175","appropriate",8,"cl",0,0
"3654","appropriate",3,"co",0,1
"176","apps",2,"cl",1,0
"177","ar",4,"cl",1,0
"178","architect",12,"cl",1,0
"179","architecture",12,"cl",1,0
"180","archive",6,"cl",1,0
"181","are",212,"cl",0,0
"3656","are",48,"co",0,0
"182","area",18,"cl",1,0
"183","areas",6,"cl",0,0
"3657","areas",1,"co",0,0
"184","arena",2,"cl",1,0
"185","Argos",2,"cl",1,0
"186","argument",2,"cl",1,0
"187","arguments",2,"cl",1,0
"188","arise",2,"cl",1,0
"189","arms",4,"cl",1,0
"190","aro",2,"cl",1,0
"191","aromatic",10,"cl",0,0
"3658","aromatic",6,"co",0,0
"192","around",54,"cl",0,0
"3659","around",8,"co",0,0
"193","arrangements",2,"cl",1,0
"194","arse",2,"cl",1,0
"195","art",62,"cl",0,0
"3660","art",5,"co",0,0
"196","articles",4,"cl",0,0
"3661","articles",2,"co",0,0
"197","artist",10,"cl",0,0
"3662","artist",1,"co",0,0
"198","artistic",2,"cl",1,0
"199","artistry",2,"cl",1,1
"200","artists",2,"cl",1,0
"201","arts",8,"cl",0,0
"3663","arts",1,"co",0,0
"202","artwork",22,"cl",1,0
"203","artworks",2,"cl",1,1
"204","as",550,"cl",0,0
"3664","as",145,"co",0,1
"205","aside",4,"cl",0,1
"3665","aside",2,"co",0,1
"206","ask",28,"cl",0,0
"3666","ask",2,"co",0,0
"207","asked",32,"cl",0,0
"3667","asked",5,"co",0,0
"208","asking",2,"cl",0,1
"3668","asking",1,"co",0,0
"209","aspect",10,"cl",0,1
"3669","aspect",1,"co",0,0
"210","aspects",6,"cl",1,0
"211","asperger",2,"cl",1,0
"212","aspergers",2,"cl",1,0
"213","aspiration",2,"cl",1,1
"214","assan",2,"cl",1,1
"215","assasinated",2,"cl",1,0
"216","assassinated",2,"cl",1,0
"217","assess",4,"cl",1,0
"218","assigned",2,"cl",0,0
"3673","assigned",2,"co",0,0
"219","assignment",2,"cl",1,0
"220","assignments",2,"cl",1,0
"221","associate",2,"cl",0,0
"3675","associate",14,"co",0,0
"222","assumptions",4,"cl",1,0
"223","asylum",2,"cl",1,1
"224","at",396,"cl",0,1
"3680","at",103,"co",0,0
"225","attacking",2,"cl",1,0
"226","attempt",2,"cl",0,0
"3682","attempt",2,"co",0,0
"227","attended",2,"cl",1,0
"228","attention",4,"cl",0,0
"3683","attention",1,"co",0,0
"229","attract",2,"cl",1,0
"230","au",6,"cl",1,0
"231","audience",2,"cl",1,0
"232","audio",4,"cl",0,0
"3685","audio",1,"co",0,0
"233","auditory",2,"cl",1,0
"234","August",4,"cl",1,0
"235","authority",4,"cl",1,0
"236","authors",2,"cl",1,0
"237","autism",4,"cl",1,0
"238","automatic",2,"cl",1,0
"239","autumn",2,"cl",1,0
"240","available",8,"cl",1,0
"241","aversion",2,"cl",1,0
"242","avoid",2,"cl",1,0
"243","aw",2,"cl",1,0
"244","award",8,"cl",1,0
"245","aware",6,"cl",0,0
"3692","aware",6,"co",0,0
"246","away",36,"cl",0,0
"3694","away",3,"co",0,0
"247","b",46,"cl",0,0
"3695","b",8,"co",0,0
"248","B",8,"cl",1,0
"249","ba",2,"cl",0,0
"3696","ba",3,"co",0,0
"250","babies",2,"cl",1,0
"251","baby",4,"cl",1,0
"252","back",134,"cl",0,0
"3697","back",18,"co",0,0
"253","backend",4,"cl",1,0
"254","backfired",4,"cl",1,0
"255","background",4,"cl",1,0
"256","backgrounds",2,"cl",1,0
"257","backspace",2,"cl",1,0
"258","backstreets",2,"cl",1,0
"259","backtrack",2,"cl",1,0
"260","bad",26,"cl",0,0
"3699","bad",8,"co",0,0
"261","badly",10,"cl",1,0
"262","bag",8,"cl",1,0
"263","bait",2,"cl",1,0
"264","baking",2,"cl",0,0
"3702","baking",1,"co",0,0
"265","balanced",4,"cl",0,0
"3703","balanced",3,"co",0,0
"266","band",2,"cl",1,0
"267","bandwagon",2,"cl",1,0
"268","bang",8,"cl",1,0
"269","bank",6,"cl",1,0
"270","bankrupt",6,"cl",1,0
"271","bar",2,"cl",1,0
"272","Barbican",10,"cl",1,0
"273","barrel",4,"cl",1,0
"274","bascially",2,"cl",1,0
"275","based",6,"cl",0,0
"3706","based",4,"co",0,0
"276","basic",14,"cl",1,0
"277","basically",36,"cl",0,0
"3707","basically",8,"co",0,1
"278","basics",6,"cl",0,0
"3708","basics",1,"co",0,0
"279","basis",8,"cl",0,1
"3709","basis",1,"co",0,0
"280","bathers",2,"cl",1,0
"281","BBC",2,"cl",1,0
"282","BBC2",2,"cl",1,0
"283","be",538,"cl",0,0
"3710","be",178,"co",0,0
"284","beautiful",4,"cl",0,0
"3712","beautiful",1,"co",0,0
"285","Beautiful",2,"cl",1,0
"286","beauty",2,"cl",1,0
"287","bec",2,"cl",1,0
"288","became",8,"cl",0,0
"3713","became",5,"co",0,0
"289","becau",2,"cl",1,0
"290","because",324,"cl",0,0
"3714","because",108,"co",0,0
"291","become",8,"cl",0,0
"3715","become",4,"co",0,0
"292","becomes",10,"cl",0,0
"3716","becomes",2,"co",0,0
"293","bed",8,"cl",1,0
"294","bedroom",6,"cl",1,0
"295","beds",2,"cl",1,0
"296","beef",2,"cl",1,0
"297","been",218,"cl",0,0
"3718","been",39,"co",0,0
"298","beep",2,"cl",1,0
"299","before",68,"cl",0,0
"3719","before",8,"co",0,0
"300","begin",2,"cl",1,0
"301","beginning",2,"cl",0,0
"3720","beginning",4,"co",0,0
"302","behave",2,"cl",0,0
"3721","behave",1,"co",0,0
"303","behaviour",2,"cl",1,0
"304","behind",6,"cl",0,0
"3724","behind",3,"co",0,0
"305","being",110,"cl",0,0
"3725","being",24,"co",0,0
"306","beings",2,"cl",1,0
"307","beliefs",2,"cl",1,0
"308","believe",12,"cl",1,0
"309","bells",2,"cl",1,0
"310","belongs",2,"cl",1,0
"311","benefit",2,"cl",0,0
"3726","benefit",1,"co",0,0
"312","benjamins",2,"cl",1,0
"313","best",28,"cl",0,0
"3727","best",1,"co",0,0
"314","bet",2,"cl",1,0
"315","better",62,"cl",0,0
"3728","better",12,"co",0,0
"316","between",22,"cl",0,0
"3729","between",23,"co",0,0
"317","beyond",2,"cl",0,0
"3730","beyond",1,"co",0,1
"318","big",78,"cl",0,0
"3733","big",9,"co",0,0
"319","bigger",8,"cl",0,0
"3734","bigger",4,"co",0,0
"320","biggest",2,"cl",1,0
"321","Biggie",2,"cl",1,1
"322","bike",2,"cl",1,0
"323","billboards",4,"cl",1,0
"324","bin",2,"cl",1,0
"325","bind",2,"cl",1,1
"326","biology",2,"cl",0,0
"3736","biology",1,"co",0,1
"327","birthday",4,"cl",1,0
"328","birthdays",2,"cl",1,0
"329","biscuit",2,"cl",1,0
"330","bit",162,"cl",0,0
"3737","bit",103,"co",0,0
"331","bitesize",2,"cl",1,0
"332","bits",16,"cl",0,0
"3738","bits",4,"co",0,1
"333","bitting",2,"cl",1,0
"334","bivvy",2,"cl",1,0
"335","bl",2,"cl",1,0
"336","black",16,"cl",0,0
"3740","black",8,"co",0,0
"337","blacked",4,"cl",1,0
"338","blacks",2,"cl",1,0
"339","blah",12,"cl",1,0
"340","blank",2,"cl",1,0
"341","blanket",2,"cl",1,0
"342","bleeding",2,"cl",1,0
"343","blemish",2,"cl",1,0
"344","blends",2,"cl",1,0
"345","bless",2,"cl",1,0
"346","blew",2,"cl",1,0
"347","blocked",2,"cl",1,0
"348","blocks",2,"cl",1,0
"349","blog",6,"cl",1,0
"350","bloke",4,"cl",1,0
"351","blokes",2,"cl",1,0
"352","blood",6,"cl",1,0
"353","bloody",4,"cl",1,0
"354","blow",6,"cl",1,0
"355","blowing",4,"cl",1,0
"356","blows",2,"cl",1,0
"357","blue",6,"cl",0,0
"3744","blue",5,"co",0,0
"358","blurred",4,"cl",1,0
"359","boarded",4,"cl",1,0
"360","boat",8,"cl",1,0
"361","bobbing",4,"cl",1,0
"362","body",18,"cl",0,0
"3746","body",8,"co",0,0
"363","boils",2,"cl",1,0
"364","bolt",2,"cl",1,0
"365","bomb",4,"cl",1,0
"366","bonds",2,"cl",1,0
"367","bone",2,"cl",1,0
"368","bones",2,"cl",1,0
"369","book",62,"cl",0,0
"3748","book",10,"co",0,0
"370","books",34,"cl",0,0
"3749","books",9,"co",0,0
"371","boom",2,"cl",0,0
"3750","boom",1,"co",0,0
"372","boomerang",16,"cl",0,0
"3751","boomerang",25,"co",0,0
"373","boon",14,"cl",1,0
"374","boop",2,"cl",1,0
"375","boots",4,"cl",1,0
"376","bored",4,"cl",0,0
"3753","bored",1,"co",0,0
"377","boring",6,"cl",0,0
"3754","boring",1,"co",0,0
"378","born",14,"cl",1,0
"379","borough",2,"cl",1,0
"380","borrow",8,"cl",1,0
"381","borrowed",4,"cl",1,0
"382","borry",2,"cl",1,0
"383","boss",2,"cl",1,0
"384","both",10,"cl",0,0
"3755","both",3,"co",0,0
"385","bother",4,"cl",1,0
"386","bothered",4,"cl",0,0
"3756","bothered",1,"co",0,0
"387","bottom",10,"cl",0,0
"3757","bottom",7,"co",0,0
"388","bought",8,"cl",1,0
"389","boundaries",2,"cl",1,0
"390","bounds",2,"cl",1,0
"391","bout",2,"cl",1,0
"392","bowl",2,"cl",1,0
"393","bowling",2,"cl",1,0
"394","boxes",2,"cl",1,0
"395","boxing",2,"cl",1,0
"396","boy",6,"cl",1,0
"397","boys",10,"cl",1,0
"398","BR",6,"cl",1,0
"399","brain",54,"cl",0,0
"3760","brain",17,"co",0,0
"400","brains",4,"cl",0,0
"3761","brains",1,"co",0,0
"401","brands",4,"cl",1,0
"402","bread",2,"cl",1,0
"403","break",18,"cl",0,0
"3763","break",1,"co",0,0
"404","breakfast",2,"cl",1,0
"405","breaks",16,"cl",0,0
"3765","breaks",1,"co",0,0
"406","breathe",28,"cl",1,0
"407","bricks",2,"cl",1,0
"408","bridge",2,"cl",1,0
"409","briefly",2,"cl",0,0
"3767","briefly",2,"co",0,0
"410","bril",2,"cl",1,0
"411","brilliant",8,"cl",0,0
"3768","brilliant",1,"co",0,0
"412","bring",14,"cl",0,0
"3769","bring",3,"co",0,0
"413","bringing",2,"cl",0,0
"3770","bringing",1,"co",0,0
"414","brings",4,"cl",0,0
"3771","brings",1,"co",0,0
"415","Britain",2,"cl",1,0
"416","broad",4,"cl",1,0
"417","broadband",2,"cl",1,0
"418","broader",2,"cl",0,0
"3772","broader",2,"co",0,0
"419","broke",4,"cl",1,0
"420","broker",4,"cl",1,0
"421","brother",2,"cl",1,0
"422","brought",14,"cl",0,0
"3775","brought",1,"co",0,0
"423","browser",4,"cl",1,0
"424","browsing",6,"cl",1,0
"425","bubbly",2,"cl",1,0
"426","buggered",2,"cl",1,0
"427","build",18,"cl",0,0
"3777","build",6,"co",0,0
"428","builders",2,"cl",1,0
"429","building",30,"cl",0,0
"3778","building",1,"co",0,0
"430","buildings",4,"cl",1,0
"431","builds",18,"cl",1,0
"432","built",14,"cl",1,0
"433","bumping",2,"cl",1,0
"434","bumps",2,"cl",1,0
"435","burn",10,"cl",1,0
"436","bus",2,"cl",1,0
"437","Bush",2,"cl",1,0
"438","business",6,"cl",1,0
"439","businesses",2,"cl",1,0
"440","bust",2,"cl",1,0
