#1|spanned text	#2|spanned text	#3|spanned text	#4|spanned text	count
emojiQfaceWithStuckOutTongueAndWinkingEye	omg	okay	hend	1
emojiQsmilingFaceWithOpenMouthAndColdSweat	hm	oke	also	1
go	abhola	okey	??	1
redactedQ8tokens35characters	Ah	okay	Jaa	1
redactedQ5tokens30characters	Ahh	okk	^^	1
.	hahahaha	oki	en	1
ade	hardbrugg	okay	ich	1
redactedQ16tokens84characters	Ah	okay	...	1
emojiQsmilingFaceWithOpenMouth	emojiQsmilingFaceWithOpenMouth	okee	^^	1
sush	wenn	oke	aber	1
ahahhha	eeu	oki	freu	1
?	redactedQ3tokens20characters	oki	;)	1
dete	?	okay	.	1
depp	do	okay	lönd	1
;)	Hehe	okidoki	.	1
18.	ah	okay	super	1
;-)	hahaha	oke	welle	1
redactedQ5tokens30characters	^^	okay	Han	1
aah	egal	oke	sorry	1
erlaube	ahahahha	oke	ey	1
13	worde	okay	perf	1
redactedQ13tokens92characters	Ah	okay	^^	1
japp	emojiQheavyBlackHeart	oki	guet	1
die	mediaQremoved	oke	?	1
lang	ueberschritte	okay	und	1
emojiQvictoryHand	Hahahah	oki	emojiQwhiteSmilingFace	1
wärs	eigentlich	okay	wenn	1
5i	dihei	oki	?	1
eaasy	^^	okee	verstahni	1
dä	37er	okay	has	1
redactedQ5tokens25characters	Hahaha	oki	:S	1
redactedQ33tokens184characters	Scho	okey	:)	1
redactedQ4tokens15characters	Hahaha	oke	;)))))))))((	1
mer	hengets	oke	:)	1
kei	akku	oki	jöö	1
schaffe	nuchmal	okay	:)	1
mm	stimmt	oke	merci	1
alütä	!	okay	.	1
aha	haha	okay	:p	1
mm	;(	okee	beiibeii	1
redactedQ1tokens3characters	Mhh	okee	:)	1
redactedQ14tokens66characters	Hmm	okay	ich	1
dich	.	okey	!!!	1
chaufe	ah	okay	.	1
admiren	besheid	oki	aber	1
das	esch	okey	.	1
bi	biletautomat	oki	weish	1
bin	glab	okay	dra	1
denk	sho	oke	sorry	1
überraschung	!!!	okay	freu	1
redactedQ14tokens66characters	ahh	okey	also	1
Danke	Ah	oki	danke	1
:)*	hmm	oke	:)	1
ish	ahhh	oke	merci	1
mache	setsh	oke	haha	1
lebenslänglich	WTF	oke	wtf	1
fur	dich	okee	isxh	1
gha	emojiQpensiveFace	okay	ich	1
:-)	au	okay	Au	1
usbuecht	Hahahah	okay	emojiQwinkingFace	1
redactedQ2tokens13characters	Ah	okay	emojiQwhiteSmilingFace	1
danny	*	okee	hesch	1
guet	....	okay	?!	1
?	redactedQ1tokens2characters	okay	ned	1
au	eifach	okay	^^	1
emojiQsmirkingFace	hahaha	oke	:D	1
medelsobe	ish	oke	emojiQokHandSign	1
ahhahaha	aha	oke	?	1
redactedQ3tokens14characters	Phahaha	oke	das	1
fertig	!	okay	i	1
emojiQfaceWithTearsOfJoy	aber	oke	besser	1
kei	bock	okay	i	1
das	isch	okay	so	1
das	isch	okey	für	1
leid	emojiQheavyBlackHeart	oki	emojiQheavyBlackHeart	1
redactedQ3tokens15characters	Haha	okey	emojiQthumbsUpSign	1
allem	NNN	oke	öppe	1
na	nahhh	oke	Hanen	1
redactedQ2tokens6characters	Hmm	okk	demfall	1
emojiQkissMark	Hahah	oki	lieb	1
redactedQ5tokens21characters	Haha	okay	danke	1
okay	Alright	okay	Hey	1
drin	.	oki	wenn	1
gha	haha	okee	:))	1
zumba	Noo	oki	doki	1
vollstopfät	!	okay	denn	1
.	nöööö	okay	denn	1
nochher	widr	oki	?	1
nochher	widr	oki	:)	1
dobä	!	okay	bis	1
kch	chumme	oki	mediaQremoved	1
dobä	!	okay	denn	1
dobä	!	okay	shit	1
aber	ganz	okay	^^	1
schnell	Hahah	oke	Pacific	1
emojiQheavyBlackHeart	Hehe	okey	emojiQheavyBlackHeart	1
netz	*	oke	hengs	1
ser	eppis	okk	easyy	1
nüt	alütish	oke	stimmt	1
redactedQ20tokens129characters	Ahahah	oki	emojiQwhiteSmilingFace	1
redactedQ3tokens10characters	Hahahaha	oke	:D	1
ish	ganz	okay	:)	1
!	????	okay	i	1
nüni	!	okay	no	1
dütshlehrer	..	okee	:)	1
abig	haha	okay	viel	1
sege	Ah	oke	....	1
redactedQ1tokens2characters	Hahaha	oke	8	1
mee	haha	oki	;)	1
redactedQ30tokens139characters	hm	okidoki	naja	1
jaaaaa	..	oke	ish	1
redactedQ7tokens34characters	Haha	oki	Sorry	1
GO	ANNE	oke	ich	1
redactedQ5tokens25characters	Ah	okay	Merci	1
ich	lueg	oke	?	1
redactedQ1tokens11characters	Ah	okee	:)	1
redactedQ13tokens60characters	emojiQfaceWithStuckOutTongueAndTightlyClosedEyes	oke	Äh	1
redactedQ3tokens8characters	hihi	okidoki	pfus	1
hahaha	haha	okk	;)	1
redactedQ1tokens2characters	hahaah	okee	:(	1
konkurrenzpriise	?	okee	emojiQsmilingFaceWithOpenMouth	1
redactedQ1tokens1characters	^^	okidoki	redactedQ12tokens67characters	1
hüt	etc.	okay	und	1
redactedQ1tokens3characters	redactedQ7tokens38characters	okay	emojiQsmilingFaceWithSmilingEyes	1
usfülle	Aha	oki	scho	1
dobä	!	okay	guete	1
weniger	zuesatzstoff	oki	doki	1
tiefenou	nid	okay	mediaQremoved	1
redactedQ4tokens12characters	Hahah	oke	merci	1
dobä	!	okay	morgä	1
den	luegemer	oke	?	1
doch	glich	okay	und	1
...	hahah	okk	haha	1
Aha	aha	okk	3	1
mit	jaja	oki	geil	1
witers	informiert	okay	und	1
nee	isch	oke	;)	1
redactedQ6tokens29characters	Ah	oke	Isch	1
willsch	hahah	okay	!	1
redactedQ4tokens16characters	Ah	okay	uuund	1
metmache	wärs	okey	redactedQ11tokens61characters	1
emojiQsmirkingFace	emojiQsmilingFaceWithHeartShapedEyes	okee	mercii	1
segi	der	oki	wenn	1
kontrolliere	:)	okay	:D	1
übercho	!!!	okay	.	1
machs	andersch	okay	.	1
mitneh	.	okay	.	1
weli	?	okay	chostet	1
emojiQokHandSign	emojiQokHandSign	oke	probieremer	1
besser	mache	oke	?	1
vom	bett	oki	?	1
-	Bist	okay	.	1
luege	Alright	okay	Weiss	1
emojiQsmirkingFace	Jaa	oke	voll	1
chumä	!	okay	.	1
Ouuuhhhhhwwww	shittt	oke	oke	1
gshribe	;)	okk	emojiQfaceWithTearsOfJoy	1
redactedQ3tokens11characters	Hahaha	okey	:)	1
alter	ish	oke	?	1
redactedQ7tokens34characters	Hahaha	oke	redactedQ6tokens26characters	1
emojiQfaceWithTearsOfJoy	hahahaha	okee	viel	1
