1_id	1_span	1_anno_tok:abbrev	1_anno_tok:gloss	1_anno_tok:mftb_lem	1_anno_tok:mftb_pos	1_anno_tok:pos	1_anno_tok:tt_lem	1_anno_tok:tt_pos	2_id	2_span	2_anno_tok:gloss	2_anno_tok:mftb_lem	2_anno_tok:mftb_pos
8565871	hahahha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8565872	okay	'NULL'	'NULL'	'NULL'
8565925	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8565926	okk	'NULL'	'NULL'	'NULL'
8565952	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8565953	okay	'NULL'	'NULL'	'NULL'
8566464	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8566465	okay	'NULL'	'NULL'	'NULL'
8566941	nachher	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8566943	okk	'NULL'	'NULL'	'NULL'
8567914	aah	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8567915	okay	'NULL'	'NULL'	'NULL'
8568413	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8568414	okk	'NULL'	'NULL'	'NULL'
8568710	hahah	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8568711	okee	'NULL'	'NULL'	'NULL'
8568775	?	'NULL'	?	'NULL'	'NULL'	PUN	'NULL'	'NULL'	8568777	oki	'NULL'	'NULL'	'NULL'
8569156	*	'NULL'	*	'NULL'	'NULL'	PUN	'NULL'	'NULL'	8569158	okay	'NULL'	'NULL'	'NULL'
8569212	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8569213	okk	'NULL'	'NULL'	'NULL'
8569854	hahah	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8569855	okay	'NULL'	'NULL'	'NULL'
8569893	hahah	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8569894	oki	'NULL'	'NULL'	'NULL'
8570625	payy	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8570627	okee	'NULL'	'NULL'	'NULL'
8570668	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8570669	okay	'NULL'	'NULL'	'NULL'
8570798	:D	'NULL'	:D	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8570800	okay	'NULL'	'NULL'	'NULL'
8570917	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8570918	oki	'NULL'	'NULL'	'NULL'
8573196	haha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8573197	oki	'NULL'	'NULL'	'NULL'
8576517	jaa	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8576518	okay	'NULL'	'NULL'	'NULL'
8578166	emojiQheavyBlackHeart	'NULL'	emojiQheavyBlackHeart	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8578168	oke	'NULL'	'NULL'	'NULL'
8578241	ohaa	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8578242	oke	'NULL'	'NULL'	'NULL'
8578388	emojiQtwoHearts	'NULL'	emojiQtwoHearts	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8578390	okee	'NULL'	'NULL'	'NULL'
8578900	hahaha	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8578901	oke	'NULL'	'NULL'	'NULL'
8579576	:)	'NULL'	:)	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8579578	oke	'NULL'	'NULL'	'NULL'
8580024	mediaQremoved	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8580026	oki	'NULL'	'NULL'	'NULL'
8580624	emojiQpurpleHeart	'NULL'	emojiQpurpleHeart	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8580626	okee	'NULL'	'NULL'	'NULL'
8582043	:)	'NULL'	:)	*_SMILEY	EMO	EMO	'NULL'	'NULL'	8582045	oke	'NULL'	'NULL'	'NULL'
8582416	emojiQfaceWithTearsOfJoy	'NULL'	emojiQfaceWithTearsOfJoy	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8582418	oke	'NULL'	'NULL'	'NULL'
8582768	morn	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8582769	okay	'NULL'	'NULL'	'NULL'
8582791	;(	'NULL'	;(	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8582793	okee	'NULL'	'NULL'	'NULL'
8583126	:)	'NULL'	:)	'NULL'	'NULL'	EMO	'NULL'	'NULL'	8583128	okee	'NULL'	'NULL'	'NULL'
8583333	wtf	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8583335	oke	'NULL'	'NULL'	'NULL'
8583617	emojiQspeakNoEvilMonkey	'NULL'	emojiQspeakNoEvilMonkey	'NULL'	'NULL'	EMOJI	'NULL'	'NULL'	8583619	oki	'NULL'	'NULL'	'NULL'
8583637	10	'NULL'	10	'NULL'	'NULL'	NUM	'NULL'	'NULL'	8583639	oki	'NULL'	'NULL'	'NULL'
8583644	4	'NULL'	4	'NULL'	'NULL'	NUM	'NULL'	'NULL'	8583646	oki	'NULL'	'NULL'	'NULL'
8583650	zahl	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	'NULL'	8583652	oki	'NULL'	'NULL'	'NULL'
